slug,school,name,title,cv_url,graduation_year,personal_url,hidden,google_scholar_url,alternative_name,graduation_school,faculty_directory_url,paper_list_url,bio
northwestern_nabil_alnajjar,Northwestern,Nabil Al-Najjar,John L. and Helen Kellogg Professor of Managerial Economics & Decision Sciences,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2091,1989,,,,,Minnesota,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=nia614,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=nia614#research,
northwestern_torben_andersen,Northwestern,Torben Andersen,Nathan S. and Mary P. Sharp Professor of Finance Director of the International Business & Markets Program and Research Center Chair of Finance Department,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2095,1992,,,https://scholar.google.com/citations?user=MpRgtycAAAAJ&hl=en&oi=ao,,Yale,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=andtoga,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=andtoga#research,
northwestern_eric_t_anderson,Northwestern,Eric T. Anderson,Hartmarx Professor of Marketing Director of the Center for Global Marketing Practice,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2096,1995,,,https://scholar.google.com/citations?user=uC5Ga80AAAAJ&hl=en&oi=ao,,MIT,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=eta008,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=eta008#research,
northwestern_james_anderson,Northwestern,James Anderson,William L. Ford Professor of Marketing and Wholesale Distribution,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2097,1978,,,https://scholar.google.com/citations?user=TFf0hRcAAAAJ&hl=en&oi=ao,,Michigan State,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=jca186,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=jca186#research,
northwestern_daniel_aobdia,Northwestern,Daniel Aobdia,Assistant Professor of Accounting Information & Management,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2099,2012,,,https://scholar.google.com/citations?user=44E6CIwAAAAJ&hl=en&oi=ao,,UCLA,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=dag246,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=dag246#research,
northwestern_scott_baker,Northwestern,Scott Baker,Assistant Professor of Finance,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=7166,2014,,,https://scholar.google.com/citations?user=8syQapsAAAAJ&hl=en&oi=ao,,Stanford,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=srb834,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=srb834#research,
northwestern_sandeep_baliga,Northwestern,Sandeep Baliga,John L. and Helen Kellogg Professor of Managerial Economics & Decision Sciences,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2104,1993,,,,,Harvard,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=sba966,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=sba966#research,
northwestern_chaithanya_bandi,Northwestern,Chaithanya Bandi,Assistant Professor of Operations,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2105,2013,,,https://scholar.google.com/citations?user=5kYYJKQAAAAJ&hl=en&oi=ao,,MIT,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=cbl566,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=cbl566#research,
northwestern_daniel_barron,Northwestern,Daniel Barron,Assistant Professor of Strategy,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=7168,2013,,,https://scholar.google.com/citations?user=fDC6Vh4AAAAJ&hl=en&oi=ao,,MIT,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=dvb429,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=dvb429#research,
northwestern_achal_bassamboo,Northwestern,Achal Bassamboo,Charles E. Morrison Professor of Decision Sciences Professor of Operations Co-Director of MMM Program,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2110,2005,,,,,Stanford,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=aba747,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=aba747#research,
northwestern_efraim_benmelech,Northwestern,Efraim Benmelech,Harold L. Stuart Professor of Finance Director of the Guthrie Center for Real Estate Research,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2112,2005,,,https://scholar.google.com/citations?user=6elB2QoAAAAJ&hl=en&oi=ao,,UChicago,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=eby668,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=eby668#research,
northwestern_david_besanko,Northwestern,David Besanko,IBM Professor of Regulation & Competitive Practices,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2115,1982,,,https://scholar.google.com/citations?user=G90kwIUAAAAJ&hl=en&oi=ao,,Northwestern,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=besanko,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=besanko#research,
northwestern_nicola_bianchi,Northwestern,Nicola Bianchi,Assistant Professor of Strategy,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=12614,2015,,,,,Stanford,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=nbh031,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=nbh031#research,
northwestern_bernard_black,Northwestern,Bernard Black,"Nicholas J. Chabraja Professor, Northwestern University Law School Professor of Finance (Courtesy)",https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2118,1988,,TRUE,,,Stanford,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=bsb220,,
northwestern_ulf_bockenholt,Northwestern,Ulf Bockenholt,John D. Gray Professor of Marketing,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2121,1985,,,https://scholar.google.com/citations?user=BmGnqrwAAAAJ&hl=en&oi=ao,,Oldenburg,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=ubo844,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=ubo844#research,
northwestern_galen_bodenhausen,Northwestern,Galen Bodenhausen,"Lawyer Taylor Professor of Psychology and Marketing, Weinberg College of Arts & Sciences Professor of Marketing, Kellogg School of Management Co-Director of the Center on the Science of Diversity",https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2122,1987,,TRUE,https://scholar.google.com/citations?user=BcERd3kAAAAJ&hl=en&oi=ao,,UIUC,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=bgb655,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=bgb655#research,
northwestern_robert_bray,Northwestern,Robert Bray,Associate Professor of Operations,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2128,2012,,,https://scholar.google.com/citations?user=9rYR9FwAAAAJ&hl=en&oi=ao,,Stanford,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=rlb851,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=rlb851#research,
